iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
CHN,China,"1,443,839,846","1,439,323,776","9,706,961 sq_km",149/sq_km,0.34%,18.34%,1
IND,India,"1,392,365,583","1,380,004,385","3,287,590 sq_km",424/sq_km,0.97%,17.69%,2
USA,United States,"332,764,085","331,002,651","9,372,610 sq_km",36/sq_km,0.58%,4.23%,3
IDN,Indonesia,"276,140,523","273,523,615","1,904,569 sq_km",145/sq_km,1.04%,3.51%,4
PAK,Pakistan,"224,866,511","220,892,340","881,912 sq_km",255/sq_km,1.95%,2.86%,5
BRA,Brazil,"213,882,580","212,559,417","8,515,767 sq_km",25/sq_km,0.67%,2.72%,6
NGA,Nigeria,"210,990,407","206,139,589","923,768 sq_km",229/sq_km,2.55%,2.68%,7
BGD,Bangladesh,"166,178,837","164,689,383","147,570 sq_km","1,127/sq_km",0.98%,2.11%,8
RUS,Russia,"145,913,619","145,934,462","17,098,242 sq_km",9/sq_km,-0.02%,1.85%,9
MEX,Mexico,"130,158,702","128,932,753","1,964,375 sq_km",66/sq_km,1.03%,1.65%,10
JPN,Japan,"126,083,592","126,476,461","377,930 sq_km",334/sq_km,-0.34%,1.60%,11
ETH,Ethiopia,"117,649,844","114,963,588","1,104,300 sq_km",107/sq_km,2.53%,1.50%,12
PHL,Philippines,"110,932,526","109,581,078","342,353 sq_km",324/sq_km,1.34%,1.41%,13
EGY,Egypt,"104,108,790","102,334,404","1,002,450 sq_km",104/sq_km,1.88%,1.32%,14
VNM,Vietnam,"98,104,510","97,338,579","331,212 sq_km",296/sq_km,0.85%,1.25%,15
COD,Dr Congo,"92,158,697","89,561,403","2,344,858 sq_km",39/sq_km,3.14%,1.17%,16
TUR,Turkey,"84,984,364","84,339,067","783,562 sq_km",109/sq_km,0.83%,1.08%,17
IRN,Iran,"84,949,750","83,992,949","1,648,195 sq_km",52/sq_km,1.23%,1.08%,18
DEU,Germany,"83,890,540","83,783,942","357,114 sq_km",235/sq_km,0.14%,1.07%,19
THA,Thailand,"69,939,124","69,799,978","513,120 sq_km",136/sq_km,0.22%,0.89%,20
GBR,United Kingdom,"68,181,501","67,886,011","242,900 sq_km",281/sq_km,0.47%,0.87%,21
FRA,France,"65,413,770","65,273,511","551,695 sq_km",119/sq_km,0.23%,0.83%,22
TZA,Tanzania,"61,360,968","59,734,218","945,087 sq_km",65/sq_km,2.95%,0.78%,23
